x,y
332.5,17.9322
333,18.398
333.5,18.862
334,19.3241
334.5,19.7843
335,20.2425
335.5,20.6987
336,21.1528
336.5,21.6048
337,22.0546
337.5,22.5022
338,22.9476
338.5,23.3907
339,23.8314
339.5,24.2697
340,24.7057
340.5,25.1391
341,25.5701
341.5,25.9985
342,26.4242
342.5,26.8474
343,27.2678
343.5,27.6856
344,28.1005
344.5,28.5127
345,28.922
345.5,29.3284
346,29.7319
346.5,30.1324
347,30.5299
347.5,30.9243
348,31.3157
348.5,31.7039
349,32.0889
349.5,32.4707
350,32.8493
350.5,33.2246
351,33.5966
351.5,33.9652
352,34.3305
352.5,34.6922
353,35.0506
353.5,35.4054
354,35.7567
354.5,36.1044
355,36.4485
355.5,36.7889
356,37.1257
356.5,37.4587
357,37.788
357.5,38.1136
358,38.4353
358.5,38.7531
359,39.0671
359.5,39.3772
360,39.6834
360.5,39.9856
361,40.2838
361.5,40.5779
362,40.868
362.5,41.154
363,41.4359
363.5,41.7137
364,41.9873
364.5,42.2567
365,42.5218
365.5,42.7827
366,43.0394
366.5,43.2917
367,43.5397
367.5,43.7833
368,44.0226
368.5,44.2575
369,44.4879
369.5,44.7139
370,44.9354
370.5,45.1524
371,45.3649
371.5,45.5729
372,45.7763
372.5,45.9752
373,46.1694
373.5,46.359
374,46.544
374.5,46.7243
375,46.9
375.5,47.071
376,47.2372
376.5,47.3988
377,47.5556
377.5,47.7076
378,47.8549
378.5,47.9974
379,48.1351
379.5,48.2679
380,48.396
380.5,48.5192
381,48.6375
381.5,48.751
382,48.8597
382.5,48.9634
383,49.0622
383.5,49.1562
384,49.2452
384.5,49.3293
385,49.4084
385.5,49.4826
386,49.5519
386.5,49.6162
387,49.6756
387.5,49.7299
388,49.7793
388.5,49.8238
389,49.8632
389.5,49.8977
390,49.9272
390.5,49.9516
391,49.9711
391.5,49.9856
392,49.9951
392.5,49.9996
393,49.9991
393.5,49.9936
394,49.9831
394.5,49.9676
395,49.9471
395.5,49.9216
396,49.8911
396.5,49.8556
397,49.8151
397.5,49.7697
398,49.7193
398.5,49.6639
399,49.6035
399.5,49.5382
400,49.4679
400.5,49.3927
401,49.3125
401.5,49.2274
402,49.1374
402.5,49.0425
403,48.9427
403.5,48.8379
404,48.7283
404.5,48.6138
405,48.4945
405.5,48.3703
406,48.2413
406.5,48.1074
407,47.9687
407.5,47.8253
408,47.677
408.5,47.524
409,47.3663
409.5,47.2038
410,47.0365
410.5,46.8646
411,46.688
411.5,46.5067
412,46.3208
412.5,46.1302
413,45.935
413.5,45.7353
414,45.5309
414.5,45.322
415,45.1086
415.5,44.8907
416,44.6682
416.5,44.4413
417,44.21
417.5,43.9742
418,43.7341
418.5,43.4895
419,43.2407
419.5,42.9874
420,42.7299
420.5,42.4682
421,42.2021
421.5,41.9319
422,41.6575
422.5,41.3789
423,41.0961
423.5,40.8093
424,40.5183
424.5,40.2234
425,39.9244
425.5,39.6214
426,39.3144
426.5,39.0035
427,38.6887
427.5,38.3701
428,38.0476
428.5,37.7213
429,37.3912
429.5,37.0574
430,36.7199
430.5,36.3787
431,36.0338
431.5,35.6854
432,35.3334
432.5,34.9779
433,34.6188
433.5,34.2563
434,33.8904
434.5,33.5211
435,33.1485
435.5,32.7725
436,32.3932
436.5,32.0107
437,31.6251
437.5,31.2362
438,30.8442
438.5,30.4492
439,30.051
439.5,29.6499
440,29.2459
440.5,28.8389
441,28.429
441.5,28.0162
