x,y
405.5,45.0791
406,45.9341
406.5,46.795
407,47.6546
407.5,48.5053
408,49.3391
408.5,50.1482
409,50.9245
409.5,51.6602
410,52.3473
410.5,52.9783
411,53.5456
411.5,54.0424
412,54.4619
412.5,54.7981
413,55.0453
413.5,55.1986
414,55.2535
414.5,55.2065
415,55.0547
415.5,54.796
416,54.4289
416.5,53.9529
417,53.3684
417.5,52.6764
418,51.8789
418.5,50.9785
419,49.9787
419.5,48.8836
420,47.6983
420.5,46.4282
421,45.0796
421.5,43.659
422,42.1737
422.5,40.6313
423,39.0397
423.5,37.4072
424,35.7421
424.5,34.0529
425,32.3482
425.5,30.6365
426,28.9261
426.5,27.2252
427,25.5417
427.5,23.8832
428,22.2566
428.5,20.6687
429,19.1255
429.5,17.6324
430,16.1943
430.5,14.8152
431,13.4987
431.5,12.2472
432,11.0627
432.5,9.94617
433,8.89796
433.5,7.91753
434,7.00361
434.5,6.15414
435,5.36636
435.5,4.63681
436,3.96138
436.5,3.33534
437,2.75343
437.5,2.2099
438,1.69856
438.5,1.21288
439,0.746031
439.5,0.290999
440,-0.159379
440.5,-0.61231
441,-1.07497
441.5,-1.55444
442,-2.0576
442.5,-2.59108
443,-3.16118
443.5,-3.77377
444,-4.43427
444.5,-5.14757
445,-5.91797
445.5,-6.74911
446,-7.64398
446.5,-8.60482
447,-9.63316
447.5,-10.7297
448,-11.8945
448.5,-13.1266
449,-14.4244
449.5,-15.7855
450,-17.2068
450.5,-18.6842
451,-20.2134
451.5,-21.7888
452,-23.4048
452.5,-25.0547
453,-26.7317
453.5,-28.4283
454,-30.1367
454.5,-31.8489
455,-33.5565
455.5,-35.2511
456,-36.9241
456.5,-38.5671
457,-40.1715
457.5,-41.7291
458,-43.2318
458.5,-44.672
459,-46.0424
459.5,-47.3361
460,-48.5467
460.5,-49.6687
461,-50.6967
461.5,-51.6266
462,-52.4544
462.5,-53.1775
463,-53.7935
463.5,-54.3012
464,-54.7
464.5,-54.9903
465,-55.1732
465.5,-55.2505
466,-55.2249
466.5,-55.1
467,-54.8797
467.5,-54.5689
468,-54.1731
468.5,-53.6982
469,-53.1508
469.5,-52.5376
470,-51.8661
470.5,-51.1438
471,-50.3785
471.5,-49.5782
472,-48.7507
472.5,-47.9042
473,-47.0464
473.5,-46.1851
474,-45.3276
474.5,-44.4812
475,-43.6524
475.5,-42.8475
476,-42.0723
476.5,-41.3318
477,-40.6306
477.5,-39.9724
478,-39.3604
478.5,-38.797
479,-38.2837
479.5,-37.8214
480,-37.4102
480.5,-37.0493
481,-36.7372
481.5,-36.4718
482,-36.2499
482.5,-36.068
483,-35.9218
483.5,-35.8063
484,-35.7161
484.5,-35.6452
485,-35.5873
485.5,-35.5355
486,-35.483
486.5,-35.4224
487,-35.3463
487.5,-35.2473
488,-35.1181
488.5,-34.9512
489,-34.7396
489.5,-34.4763
490,-34.1549
490.5,-33.7692
491,-33.3135
491.5,-32.7827
492,-32.1722
492.5,-31.4781
493,-30.6971
493.5,-29.8269
494,-28.8656
494.5,-27.8124
495,-26.6669
495.5,-25.4299
496,-24.1028
496.5,-22.6878
497,-21.188
497.5,-19.6072
498,-17.9499
498.5,-16.2212
499,-14.427
499.5,-12.5738
500,-10.6685
